-1.0162,-1.1413,-0.77753,-0.77753,-0.31477,-0.31492,-0.091366,-0.35544,-0.26603,-1.1874,1.5759,1.2236,-1.2236,0.022914,-0.94062,-1.2582,-1.435,-0.4861,-0.57518,0.7962,0.87958,-0.083516,-0.89821,0.52874,1.4673,-1.0755,-0.0094869
0.14186,0.066386,0.50006,0.50004,-0.34553,-0.33815,-0.12419,-0.38047,-0.017075,-0.38488,1.5759,1.2236,-1.2236,0.022914,1.4447,-0.25428,-1.3424,-0.50476,-0.043278,0.65406,0.87958,-0.58179,-1.1575,0.13014,1.4172,-0.29775,-0.84554
0.49523,0.43614,-0.054532,-0.054552,-0.35269,-0.34479,-0.14999,-0.38716,0.44972,-0.27787,1.1332,1.2236,-1.2236,0.38598,2.133,-0.52166,-0.87607,-0.50306,0.5733,0.57167,0.87958,-0.81261,-1.1575,-0.32568,1.1648,0.05717,-1.0912
0.54133,0.48638,-0.72204,-0.72204,-0.33238,-0.3282,-0.089021,-0.36564,0.44972,-0.22437,-0.73428,-0.81681,0.81681,3.8351,1.3246,0.19741,-1.5317,-0.47762,-0.29608,0.7962,0.87958,-0.31294,-1.0186,0.55009,1.5196,-0.17138,-0.18919
1.3787,1.3826,-0.64951,-0.64939,0.099667,-0.17216,0.4151,0.079286,-1.4797,-0.22437,-0.73428,-0.81681,0.81681,1.929,-0.87489,0.25059,-1.8615,-0.35212,-1.3451,0.74711,0.87958,1.1274,-0.2184,2.2156,1.6981,-0.45639,1.2213
-0.27106,-0.35562,-0.87369,-0.87367,-0.24454,-0.30496,0.0094588,-0.281,-0.63946,-0.17087,-0.49911,-0.81681,0.81681,-0.70322,0.96187,-0.52821,-1.6394,-0.43183,-0.24881,0.7962,0.87958,0.38902,-0.61105,1.1802,1.5779,-0.64124,1.1842
-0.3037,-0.34557,-0.85216,-0.85195,1.385,0.39224,0.8184,2.4901,-1.9154,3.6812,1.5759,-0.81681,0.81681,1.2937,0.52679,-0.54788,-1.8124,-0.23339,-1.9197,0.62844,0.87958,1.8561,0.37959,2.6738,1.6715,2.7587,1.2213
-0.73198,-0.83991,-0.81132,-0.81133,-0.34089,-0.33484,-0.14764,-0.36367,1.2277,2.2367,1.5759,-0.81681,0.81681,1.2937,-0.35506,-0.5406,-0.26108,-0.46575,1.2273,0.7962,0.87958,-0.47126,-0.69701,-0.2251,0.83198,2.1201,-0.73507
-0.46311,-0.55255,-0.68831,-0.68832,-0.31535,-0.32156,-0.13357,-0.34465,-0.98178,0.95267,1.5759,-0.81681,0.81681,1.2937,0.19847,-1.4229,-0.26108,-0.43522,1.053,0.7962,0.87958,-0.089727,-0.46051,0.025814,0.83198,0.078008,-0.076949
-0.89331,-1.0047,-0.47179,-0.47179,-0.28091,-0.3282,-0.081987,-0.30435,-0.26603,0.68516,1.5759,-0.81681,0.81681,1.2937,-0.68738,-1.3231,-1.1834,-0.4454,1.2848,0.7962,0.87958,0.19395,-0.53256,0.61171,1.3311,0.14792,0.81243
